First Name;Surname;Description;Motivation;Flaws
Aelric;Aldermere;A slender, almost fragile figure, with eyes shining like shooting stars.; To find the one person who remembers their true name, stolen by a trickster spirit long ago; They always assume the worst in people, not out of cynicism, but because they genuinely believe they’re protecting others from disappointment
Eolande;Evercreek;An imposing build, marked by scars in the shape of ancient runes.; To prove that their disgraced family was framed for treason, even if it means uncovering a conspiracy that could topple a kingdom; They refuse to accept help, even when desperately needed, because they equate dependence with weakness
Isolde;Ironwood;Silver hair, always messy, as if touched by a magical breeze.; To collect every variant of a rare flower that blooms only under a full moon, believing it holds the key to curing their chronic illness; They hoard resources—not out of greed, but because they fear the day they won’t have enough to save someone they love
Maris;Carbery;Pale skin dotted with golden freckles, reminiscent of constellations.; To rebuild a ruined library, not for glory, but because they believe knowledge is the only thing that can save their dying world; They lie to spare others’ feelings, even when the truth would be kinder in the long run
Quentyn;Ravenwood;Slender and agile hands, with fingers slightly longer than normal.; To find a way to reverse a curse that turns their tears into gemstones, slowly petrifying their heart; They hold grudges for decades, not out of malice, but because they believe forgetting is a betrayal of their own pain
Veyra;Moreton;A hunched posture, as if the weight of an invisible secret was bending the shoulders.; To uncover the truth behind their sibling’s disappearance, even if it means confronting the fey court that took them; They trust too easily, not out of naivety, but because they refuse to believe anyone could be as broken as they are
Aurelian;Bramblewood;Heterochromic eyes, one green like the forest, the other golden like the setting sun.; To master a forbidden magic, not for power, but to undo the damage their mentor caused with it; They sabotage their own success, convinced they don’t deserve happiness after past failures
Elowyn;Frostfang;A beard or braided hair with beads or carved bones.; To return a stolen relic to its rightful place, not out of duty, but because they’ve seen the suffering its absence has caused; They judge others harshly for the same flaws they secretly possess, unable to face their own hypocrisy
Ianthe;Jarnson;Skin covered in tattooed designs that glow faintly under the moon.; To earn enough gold to buy back their ancestral home, now occupied by a noble who ruined their family; They avoid emotional connections, fearing that caring for someone will make them vulnerable to loss
Morvayne;Nightingale;A hoarse voice, as if each word were whispered through a veil of mist.; To find a way to communicate with the spirits of the forest, who have gone silent and left the land barren; They put duty above all else, even when it means abandoning those who depend on them
Rhiannon;Stormborn;Slightly pointed ears, almost imperceptible under the hair.; To break the cycle of vengeance between their family and another, even if it means betraying their own blood;" They manipulate others into making their own choices, believing they’re guiding them toward the ""right"" path"
Xanthe;Laeger;A silent gait, like that of a predator or a dancer.; To discover why they are the only person immune to a plague that’s wiping out their village; They refuse to forgive themselves for past mistakes, and punish others for similar errors
Bastian;Fido;Spiral-shaped scars on the front arms, traces of a forgotten ritual; To map the ever-shifting labyrinth beneath their city, where something ancient and hungry stirs; They seek validation from those they despise, unable to break free from the need for their approval
Fionn;Grimsley;A lingering smell of ash and dried herbs.; To restore their lost shadow, which was stolen by a creature of darkness and now roams the world independently; They pretend to be someone they’re not, even to themselves, until they forget who they truly are
Jorund;Weers;Eyes without pupils, entirely black or white as snow.; To find a legendary healer who can remove the magical brand on their skin, marking them as a criminal; They blame others for their own failures, unable to accept responsibility for their actions
Niamh;Overmere;Scaly or slightly scaly skin, a sign of mysterious ancestry.; To uncover the identity of the person who left them as a baby on the doorstep of a monastery, and why; They prioritize revenge over justice, even when it destroys their own life
Rivenna;Thornbrook;Black or metallic nails, as if forged from an unknown material.; To learn the truth about the war that orphaned them, even if it means confronting the generals who lied about it; They refuse to admit they’re wrong, even when evidence proves otherwise, out of fear of appearing weak
Wrenna;Blackthorn;A changing hair,going from midnight blue to blood red depending on the mood.; To gather the scattered pages of a book that predicts the future, before someone uses it to cause a catastrophe; They use humor to deflect serious conversations, avoiding emotional vulnerability at all costs
Bria;Primalis;A smile always asymmetrical, as if half of the face refused joy.; To find a way to free their reflection, trapped in a cursed mirror and slowly growing more malevolent; They cling to traditions, even when those traditions harm others, because change terrifies them
Finnick;Frober;Arms covered in worn leather bracelets, each bearing a different symbol.; To become the first mortal to enter the celestial city, not for glory, but to ask the gods why they abandoned their people; They take unnecessary risks, not out of bravery, but because they don’t value their own life
Jorven;Borealis;Skin that seems to absorb light, like a shadow cloth.; To destroy a powerful artifact before it falls into the wrong hands, even if it means sacrificing their own life; They refuse to let go of the past, allowing old wounds to dictate their present actions
Nyxara;Songer;Eyes that reflect candlelight,even in total darkness.; To reunite with a lost love, who was taken by time magic and now exists in a different era; They seek control in every situation, unable to tolerate uncertainty or chaos
Briseis;Yarrow;An abnormally large or small stature, as if from another world.; To expose the corruption in their guild, even if it means becoming an outcast among their peers; They avoid confrontation, letting resentment build until it explodes in unexpected ways
Faelan;Coldwind;Pale, almost bluish lips, as if touched by frost.; To find a way to lift the curse on their village, where everyone is doomed to repeat the same day forever; They believe they’re destined for greatness and dismiss anyone who doesn’t share their vision
Jareth;Aristabal;Slow, deep breathing, like that of a waking sleeper.; To discover the secret behind their unusual longevity, and whether it’s a gift or a curse; They refuse to show vulnerability, believing it’s a sign of weakness, even when it pushes others away
Erekla;Kaelmar;Hair that floats slightly, even without wind.; To protect the last dragon egg, even if it means becoming a fugitive from the kingdom that wants to destroy it; They put their own needs last, to the point of self-destruction, believing they’re unworthy of care
Riven;Pearsall;Skin marked by luminous veins, visible under anger.; To find a way to break the geas binding them to serve a cruel master, without harming the innocent people it protects; They trust only in logic and dismiss emotions as irrational, even when empathy is needed
Wren;Opal;Hands always cold, as if carved in stone.; To restore their family’s honor by winning a tournament they were forbidden to enter; They seek perfection in themselves and others, and are crushed when it’s unattainable
Brynjar;Vas;A laugh that resonates like a distant echo.; To find the source of the voices they hear in their dreams, which speak in a language no one else understands; They avoid making decisions, fearing that any choice will lead to regret
Finnian;Deare;Eyes that seem to see through lies.;" To uncover the truth about the ""hero"" who saved their town, who they suspect is actually a villain in disguise"; They believe they’re cursed and unconsciously act in ways that make it true
Jorvik;Sye;A silhouette that blends into the shadows, even in broad daylight.; To find a way to remove the mark on their forehead, which brands them as a servant of a god they’ve never worshipped; They refuse to ask for help, believing they must carry every burden alone
Nymeria;Laham;Scars that change shape depending on the phases of the moon.; To locate their missing mentor, who vanished while researching a dangerous ritual; They manipulate others into doing what they want, believing it’s for their own good
Sylas;Marrow;A voice that carries strangely far, as if amplified by magic.; To prove that the monsters everyone fears are actually victims of a darker force; They hold themselves to impossible standards and punish themselves for falling short
Yvaine;Vaelglen;Angular features, as if cut with a billhook.; To find a way to wake their comatose sibling, whose soul is trapped in a magical realm; They refuse to let others see their true self, fearing rejection
Caelara;Coldshore;Skin that glows faintly in the rain.; To destroy the undead army threatening their homeland, even if it means using the same dark magic that created it; They seek approval from authority figures, even when those figures are corrupt
Gethin;Grimshaw;Hair that grows abnormally quickly, like a wild plant.; To uncover the secret of their own immortality, and whether it came at the cost of someone else’s life; They avoid responsibility, shifting blame to others when things go wrong
Kaelani;Kaelstrom;A look that seems to pierce the soul, even through a mask.; To find the person who betrayed their rebellion and caused the deaths of their friends; They believe they’re the only one who can fix things, refusing to delegate or trust others
Orlanth;Overbrook;Webbed or slightly webbed fingers, a sign of an aquatic origin.; To restore the balance between two warring factions, even if it means betraying both sides; They refuse to acknowledge their own emotions, believing they’re a distraction
Sylphie;Thornvale;A slightly shuffling gait, as if the feet were heavy with memories.; To find a way to reverse the spell that turned their best friend into a monster; They seek revenge not for justice, but to fill an emptiness inside themselves
Ysolde;Zephyria;Skin covered in fine scales, visible only from certain angles.; To discover why they can see the future in their dreams, and whether they can change it; They refuse to admit they care about others, fearing it will make them weak
Caelan;Duskwhisper;Eyes that change color depending on emotions.; To reclaim their stolen inheritance, not for wealth, but because it holds the key to their family’s true history; They believe they’re unlovable and push away anyone who tries to get close
Gwyneira;Menze;A smell of damp earth and mushrooms after the rain.; To find a cure for the magical poison slowly turning them to stone; They trust only in themselves, refusing to rely on others even when it’s necessary
Kestria;Lightfoot;Scars that light up in the presence of magic.;" To uncover the truth about the ""haunted"" castle on the hill, where they once saw a light in the window as a child"; They seek power not to help others, but to ensure no one can ever hurt them again
Ophirah;Quickwater;A voice that seems to sing even while speaking.; To find a way to break the curse that forces them to tell the truth, no matter the consequences; They refuse to let go of control, even when it’s destroying their relationships
Caelum;Arimas;Hair that resists fire, as if woven from magic silk.; To locate the lost heir to the throne, who could end the tyranny of the current ruler; They believe they’re a burden and avoid forming deep connections
Gwendry;Blackwood;Skin that regenerates abnormally quickly, leaving ghostly traces.; To discover why they are the only person who can hear the whispers of the dead; They seek validation through achievements, never feeling like they’re enough
Kaelith;Eversee;Eyes that reflect unknown landscapes.; To find a way to remove the magical tattoo that binds them to a criminal syndicate; They refuse to show affection, believing it’s a sign of weakness
Orvyn;Stellmount;A posture always slightly bent, as if listening to a distant whisper.; To uncover the secret of the ghost ship that appears every decade, and why it calls to them; They believe they’re destined to fail and unconsciously sabotage their own efforts
Sylvine;Mooncreek;Hands that tremble imperceptibly, as if charged with energy.; To restore their family’s name by completing the quest their ancestor failed; They seek to prove themselves to someone who will never be satisfied
Ysandre;Lenon;Hair that cannot be cut, repelling any blade.; To find a way to enter the dream world and rescue someone trapped there; They refuse to accept kindness, believing it’s always given out of pity
Cressida;Whitewind;Features that seem blurry, as if seen through a veil.; To destroy the cult that worships the entity they accidentally summoned as a child; They believe they must earn love through sacrifice, and give too much of themselves
Gwyndolin;Duskbane;Skin that absorbs surrounding colors, like a chameleon.; To find the person who left them a mysterious inheritance, and why they chose them; They seek to control others’ perceptions of them, crafting a false image to hide their insecurities
Kestrel;Holloway;Eyes that cry black or silver tears.;" To uncover the truth about the ""accident"" that killed their parents, which they suspect was actually murder"; They refuse to let others help them, believing they must suffer alone
